route_id,service_id,trip_id,trip_headsign,direction_id,shape_id
RLE,DAILY,RLE_NB_0420,95th/Dan Ryan,0,RLE_NB
RLE,DAILY,RLE_NB_0430,95th/Dan Ryan,0,RLE_NB
RLE,DAILY,RLE_NB_0440,95th/Dan Ryan,0,RLE_NB
RLE,DAILY,RLE_NB_0450,95th/Dan Ryan,0,RLE_NB
RLE,DAILY,RLE_NB_0460,95th/Dan Ryan,0,RLE_NB
RLE,DAILY,RLE_NB_0470,95th/Dan Ryan,0,RLE_NB
RLE,DAILY,RLE_NB_0480,95th/Dan Ryan,0,RLE_NB
RLE,DAILY,RLE_NB_0490,95th/Dan Ryan,0,RLE_NB
RLE,DAILY,RLE_NB_0500,95th/Dan Ryan,0,RLE_NB
RLE,DAILY,RLE_NB_0510,95th/Dan Ryan,0,RLE_NB
RLE,DAILY,RLE_NB_0520,95th/Dan Ryan,0,RLE_NB
RLE,DAILY,RLE_NB_0530,95th/Dan Ryan,0,RLE_NB
RLE,DAILY,RLE_NB_0540,95th/Dan Ryan,0,RLE_NB
RLE,DAILY,RLE_NB_0550,95th/Dan Ryan,0,RLE_NB
RLE,DAILY,RLE_NB_0560,95th/Dan Ryan,0,RLE_NB
RLE,DAILY,RLE_NB_0570,95th/Dan Ryan,0,RLE_NB
RLE,DAILY,RLE_NB_0580,95th/Dan Ryan,0,RLE_NB
RLE,DAILY,RLE_NB_0590,95th/Dan Ryan,0,RLE_NB
RLE,DAILY,RLE_NB_0600,95th/Dan Ryan,0,RLE_NB
RLE,DAILY,RLE_NB_0610,95th/Dan Ryan,0,RLE_NB
RLE,DAILY,RLE_NB_0620,95th/Dan Ryan,0,RLE_NB
RLE,DAILY,RLE_NB_0630,95th/Dan Ryan,0,RLE_NB
RLE,DAILY,RLE_NB_0640,95th/Dan Ryan,0,RLE_NB
RLE,DAILY,RLE_NB_0650,95th/Dan Ryan,0,RLE_NB
RLE,DAILY,RLE_NB_0660,95th/Dan Ryan,0,RLE_NB
RLE,DAILY,RLE_NB_0670,95th/Dan Ryan,0,RLE_NB
RLE,DAILY,RLE_NB_0680,95th/Dan Ryan,0,RLE_NB
RLE,DAILY,RLE_NB_0690,95th/Dan Ryan,0,RLE_NB
RLE,DAILY,RLE_NB_0700,95th/Dan Ryan,0,RLE_NB
RLE,DAILY,RLE_NB_0710,95th/Dan Ryan,0,RLE_NB
RLE,DAILY,RLE_NB_0720,95th/Dan Ryan,0,RLE_NB
RLE,DAILY,RLE_NB_0730,95th/Dan Ryan,0,RLE_NB
RLE,DAILY,RLE_NB_0740,95th/Dan Ryan,0,RLE_NB
RLE,DAILY,RLE_NB_0750,95th/Dan Ryan,0,RLE_NB
RLE,DAILY,RLE_NB_0760,95th/Dan Ryan,0,RLE_NB
RLE,DAILY,RLE_NB_0770,95th/Dan Ryan,0,RLE_NB
RLE,DAILY,RLE_NB_0780,95th/Dan Ryan,0,RLE_NB
RLE,DAILY,RLE_NB_0790,95th/Dan Ryan,0,RLE_NB
RLE,DAILY,RLE_NB_0800,95th/Dan Ryan,0,RLE_NB
RLE,DAILY,RLE_NB_0810,95th/Dan Ryan,0,RLE_NB
RLE,DAILY,RLE_NB_0820,95th/Dan Ryan,0,RLE_NB
RLE,DAILY,RLE_NB_0830,95th/Dan Ryan,0,RLE_NB
RLE,DAILY,RLE_NB_0840,95th/Dan Ryan,0,RLE_NB
RLE,DAILY,RLE_NB_0850,95th/Dan Ryan,0,RLE_NB
